imdb_id,inf_dist_summary
tt1425922,1.0
tt4087916,1.0
tt0808417,1.0
tt0066328,1.0
tt3808342,1.0
tt0475998,1.0
tt1181840,1.0
tt0146675,1.0
tt3122736,1.0
tt10199586,1.0
tt1328913,1.0
tt3195442,1.0
tt8236336,1.0
tt6536944,1.0
tt3907674,1.0
tt1528227,1.0
tt0082679,1.0
tt0453451,1.0
tt0481583,1.0
tt1179034,1.0
tt0331933,1.0
tt1663187,1.0
tt7608534,1.0
tt0452637,1.0
tt4652650,1.0
tt0117998,1.0
tt2103227,1.0
tt3513054,1.0
tt0077305,1.0
tt1888516,1.0
tt3672840,1.0
tt0486578,1.0
tt0100944,1.0
tt0408236,1.0
tt0120029,1.0
tt0816692,1.0
tt3663020,1.0
tt3202200,1.0
tt0091584,1.0
tt1632708,1.0
tt5093026,1.0
tt0071807,1.0
tt0810900,1.0
tt5758802,1.0
tt1951181,1.0
tt0815178,1.0
tt1620935,1.0
tt0102943,1.0
tt5521550,1.0
tt0421729,1.0
tt3714720,1.0
tt2523832,1.0
tt7167876,1.0
tt0116250,1.0
tt4225622,1.0
tt0076137,1.0
tt0466342,1.0
tt0790686,1.0
tt3278330,1.0
tt0247638,1.0
tt0286788,1.0
tt2048824,1.0
tt0034240,1.0
tt1247640,1.0
tt0108358,1.0
